movie_title,release_date,genre,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore
Sicilian Ghost Story,30-Nov-18,"Drama,Mystery,Fantasy,Romance,Crime",3,1,8,70,0,1,2,tbd
The Cruise,23-Oct-98,Documentary,3,1,9,69,2,0,1,tbd
The Reports on Sarah and Saleem,12-Jun-19,"Drama,Mystery,Romance,Crime,War",0,1,8,69,0,1,2,tbd
Moka,14-Jun-17,Drama,2,0,8,69,1,0,2,tbd
Bill W.,18-May-12,"Biography,History,Documentary",0,1,9,69,0,0,3,tbd
Here,13-Apr-12,"Adventure,Drama,Romance",3,0,6,68,0,1,2,tbd
Afterglow,26-Dec-97,"Drama,Comedy,Romance",7,0,15,68,1,1,1,tbd
Stations of the Cross,10-Jul-15,Drama,4,0,7,68,0,0,3,tbd
Sorcerer,24-Jun-77,"Adventure,Drama,Thriller",6,0,7,68,0,0,3,tbd
Into Eternity,2-Feb-11,Documentary,4,0,7,68,0,1,2,tbd
Protagonist,30-Nov-07,Documentary,0,2,14,68,0,1,2,tbd
Purple Butterfly,26-Nov-04,"Drama,History,War",4,1,7,68,0,0,3,tbd
The Beauty Academy of Kabul,24-Mar-06,Documentary,7,0,15,68,0,1,2,tbd
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),10-Sep-10,"Music,Documentary",3,0,6,68,0,0,3,tbd
The Gospel According to André,25-May-18,Documentary,6,0,11,67,1,0,2,tbd
Buena Vista Social Club: Adios,26-May-17,Documentary,3,0,4,67,0,1,2,tbd
After Everything,12-Oct-18,"Drama,Comedy",2,0,9,67,1,1,1,tbd
Escape Fire: The Fight to Rescue American Healthcare,5-Oct-12,"Documentary,News",3,0,7,67,0,0,3,tbd
Parched,17-Jun-16,Drama,2,0,5,67,1,0,2,tbd
Steel City,25-May-07,Drama,3,0,12,67,0,1,2,tbd
Been Rich All My Life,21-Jul-06,Documentary,4,0,13,67,0,0,3,tbd
Super Fly,4-Aug-72,"Action,Drama,Crime",4,0,4,67,3,0,0,tbd
You Will Be My Son,16-Aug-13,Drama,6,0,12,67,1,0,2,tbd
The Goebbles Experiment,12-Aug-05,"Biography,History,War,Documentary",3,0,8,67,1,0,2,tbd
Mrs. Parker and the Vicious Circle,23-Nov-94,"Biography,Drama",5,2,14,66,0,1,2,tbd
Never Here,20-Oct-17,"Drama,Mystery,Thriller",1,0,6,66,0,2,1,tbd
Glassland,12-Feb-16,Drama,5,0,11,66,1,0,2,tbd
God Knows Where I Am,31-Mar-17,"Biography,Drama,History,Mystery,Documentary",3,0,8,66,1,0,2,tbd
Strange Powers: Stephin Merritt and the Magnetic Fields,27-Oct-10,"Music,Documentary",5,0,13,66,1,1,1,tbd
The Monastery: Mr. Vig and the Nun,29-Aug-07,Documentary,2,0,7,66,0,0,3,tbd
Windfall,3-Feb-12,"Drama,Documentary",4,0,6,65,0,2,1,tbd
...So Goes the Nation,4-Oct-06,Documentary,3,0,9,65,0,0,3,tbd
Tying the Knot,1-Oct-04,Documentary,6,0,11,65,0,0,3,tbd
Ivory Tower,13-Jun-14,"History,Family,Documentary,News",4,0,15,65,0,0,3,tbd
Photograph,17-May-19,"Drama,Romance,Short",7,0,14,65,0,0,3,tbd
Daughters of the Sun,29-Jul-04,Drama,3,0,4,65,0,0,3,tbd
The Apparition,7-Sep-18,Drama,4,0,5,64,2,0,1,tbd
Guilty by Suspicion,15-Mar-91,Drama,8,0,15,64,1,0,2,tbd
Close to Home,16-Feb-07,Drama,4,0,9,64,0,0,3,tbd
Hamburger Hill,28-Aug-87,"Action,Drama,Thriller,War",6,1,10,64,0,0,3,tbd
Following Sean,13-Jan-06,Documentary,1,1,11,64,0,0,3,tbd
Mongolian Ping Pong,21-Apr-06,"Drama,Comedy",2,1,7,64,1,0,2,tbd
Pick of the Litter,31-Aug-18,Documentary,4,0,13,64,1,0,2,tbd
The Electric Horseman,21-Dec-79,"Drama,Comedy,Romance,Western",3,1,5,64,1,0,2,tbd
The Long Dumb Road,9-Nov-18,Comedy,5,0,7,64,1,2,0,tbd
Bright Future,12-Nov-04,Drama,3,0,8,64,0,1,2,tbd
The Horse Boy,30-Sep-09,Documentary,3,1,12,64,0,0,3,tbd
Finding Fela!,1-Aug-14,"Biography,History,Music,Documentary",9,0,11,64,0,0,3,tbd
Medeas,16-Jan-15,Drama,3,0,4,64,0,1,2,tbd
Noble,8-May-15,"Biography,Drama",2,0,6,63,0,1,2,tbd
Who's That Knocking at My Door?,8-Sep-68,"Drama,Romance",5,0,4,63,0,0,3,tbd
A State of Mind,10-Aug-05,Documentary,5,0,9,63,0,0,3,tbd
"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling",25-Mar-05,Documentary,5,0,12,62,0,0,3,tbd
Vajra Sky Over Tibet,8-Sep-06,Documentary,5,0,8,61,0,0,3,tbd
Haute Cuisine,20-Sep-13,"Biography,Comedy",4,1,9,61,2,0,1,tbd
Hideaway (Le refuge),10-Sep-10,Drama,5,0,5,61,0,1,2,tbd
XY Chelsea,10-May-19,Documentary,5,0,4,60,0,2,1,tbd
Alice Neel,20-Apr-07,Documentary,1,1,5,60,0,0,3,tbd
The Other Half,10-Mar-17,"Drama,Romance",5,0,4,60,0,1,2,tbd
Anything,11-May-18,"Drama,Romance",4,0,6,60,0,0,3,tbd
Bride Flight,10-Jun-11,Drama,8,1,10,60,2,1,0,tbd
Les amants criminels,21-Jul-00,"Drama,Thriller,Crime",7,0,6,59,1,0,2,tbd
Driven,16-Aug-19,"Biography,Drama,Thriller",5,0,3,58,1,0,2,tbd
Them That Follow,2-Aug-19,Thriller,10,0,12,58,0,1,2,tbd
Bat*21,21-Oct-88,"Drama,War",6,2,5,58,1,0,2,tbd
The Prey,7-Jun-13,"Action,Thriller,Crime",5,1,6,58,1,0,2,tbd
The Missing Person,20-Nov-09,"Drama,Mystery,Comedy",6,0,3,57,1,0,2,tbd
Color Me Kubrick,23-Mar-07,"Drama,Comedy",3,4,14,57,0,0,3,tbd
little man,28-Oct-05,Documentary,4,1,6,57,0,1,2,tbd
Viper Club,26-Oct-18,Drama,5,3,5,57,1,0,2,tbd
Cirkus Columbia,17-Feb-12,Drama,5,0,5,57,0,1,2,tbd
In the Name of My Daughter,8-May-15,Drama,9,2,10,57,1,1,1,tbd
Heaven's Gate,19-Nov-80,"Adventure,Drama,Western",3,5,7,57,0,2,1,tbd
The Yellow Birds,15-Jun-18,"Drama,War",12,0,4,56,0,0,3,tbd
The Monk,8-Mar-13,"Drama,Mystery,Thriller",7,1,4,56,3,0,0,tbd
Alex of Venice,17-Apr-15,Drama,6,0,4,56,1,0,2,tbd
After Midnight,3-Dec-04,"Comedy,Romance",7,1,7,56,1,0,2,tbd
Perlasca: The Courage of a Just Man,15-Apr-05,"Drama,History,War",4,0,3,56,0,0,3,tbd
The Human Surge,3-Mar-17,"Drama,Documentary",2,2,3,56,1,0,2,tbd
A Very Brady Sequel,23-Aug-96,Comedy,6,2,13,56,1,0,2,tbd
A Bag of Marbles,23-Mar-18,Drama,4,0,3,55,1,0,2,tbd
It's About You,4-Jan-12,"Biography,Music,Documentary",4,2,5,55,1,1,1,tbd
Gun Hill Road,5-Aug-11,Drama,11,0,3,55,0,0,3,tbd
SiREN,2-Dec-16,Horror,4,1,4,54,1,0,2,tbd
Cézanne et Moi,31-Mar-17,"Biography,Drama",6,1,5,54,2,0,1,tbd
Some Velvet Morning,13-Dec-13,Drama,5,3,9,54,1,0,2,tbd
Allure,16-Mar-18,"Drama,Thriller,Romance",5,1,5,54,1,1,1,tbd
CSNY/Déjà Vu,25-Jul-08,"Music,Documentary",7,1,7,54,0,0,3,tbd
In Satmar Custody,6-Apr-05,Documentary,4,1,2,53,0,1,2,tbd
Milarepa,7-Sep-07,"Action,Adventure,Biography,Drama",5,1,4,52,0,0,3,tbd
Who Do You Love,9-Apr-10,Drama,5,1,7,52,0,0,3,tbd
Three Days of Rain,30-Sep-05,Drama,5,2,5,52,0,0,3,tbd
Macbeth,15-Jun-07,"Drama,Thriller",4,4,7,51,2,0,1,tbd
In Our Nature,7-Dec-12,Drama,7,1,3,51,1,1,1,tbd
Trial by Fire,17-May-19,"Biography,Drama",13,1,5,51,0,1,2,tbd
Burn Your Maps,21-Jun-19,Adventure,4,1,3,50,0,1,2,tbd
Six Dance Lessons in Six Weeks,12-Dec-14,"Drama,Comedy",6,0,2,50,0,1,2,tbd
All My Loved Ones,14-Aug-02,"Drama,War,Music",6,1,2,50,0,0,3,tbd
Introducing the Dwights,4-Jul-07,"Drama,Comedy",9,4,10,50,1,1,1,tbd
The Price of Milk,16-Feb-01,"Drama,Fantasy,Comedy,Romance",7,6,6,49,0,0,3,tbd
They Remain,2-Mar-18,Thriller,2,3,4,49,0,0,3,tbd
Out of Blue,22-Mar-19,"Drama,Mystery,Crime",10,3,3,49,2,0,1,tbd
Adult Life Skills,18-Jan-19,"Drama,Comedy",8,2,5,49,0,2,1,tbd
Gerontophilia,1-May-15,"Comedy,Romance",6,1,2,48,2,1,0,tbd
Lucky Break,5-Apr-02,"Comedy,Romance,Crime",11,4,7,48,0,0,3,tbd
Virgin,3-Sep-04,Drama,7,2,3,48,0,1,2,tbd
To the Arctic,20-Apr-12,Documentary,7,2,4,48,0,1,2,tbd
October Gale,6-Mar-15,"Drama,Thriller,Romance",9,0,1,48,2,0,1,tbd
Cote d'Azur,9-Sep-05,"Comedy,Romance,Musical",9,3,7,47,0,1,2,tbd
Full Grown Men,25-Jun-08,"Drama,Comedy",7,2,3,47,0,1,2,tbd
1492: Conquest of Paradise,9-Oct-92,"Adventure,Biography,Drama,History",11,4,6,47,3,0,0,tbd
The Architect,1-Dec-06,Drama,8,2,6,47,1,1,1,tbd
Nostalgia,16-Feb-18,Drama,10,5,7,47,1,1,1,tbd
The Tenants,3-Feb-06,Drama,6,1,3,46,0,1,2,tbd
3 Dancing Slaves,2-Sep-05,Drama,6,1,1,46,2,0,1,tbd
White on Rice,11-Sep-09,Comedy,6,0,1,45,1,0,2,tbd
Rosencrantz and Guildenstern Are Undead,4-Jun-10,Comedy,5,2,1,45,2,0,1,tbd
Where Hands Touch,14-Sep-18,"Drama,Romance,War",8,2,3,44,0,1,2,tbd
Dough,29-Apr-16,"Drama,Comedy",9,3,2,44,1,1,1,tbd
The Closer You Get,25-Feb-00,Comedy,10,2,6,44,0,0,3,tbd
The Young Unknowns,11-Apr-03,Drama,8,5,2,43,0,0,3,tbd
Breaking the Girls,26-Jul-13,"Thriller,Crime",5,2,1,42,1,1,1,tbd
Midnight Eagle,23-Nov-07,Action,3,2,2,42,1,1,1,tbd
Killerman,30-Aug-19,"Action,Drama,Mystery,Thriller,Crime",3,4,0,42,0,0,3,tbd
The Toxic Avenger,11-Apr-86,"Action,Sci-Fi,Horror,Comedy",2,3,3,42,0,1,2,tbd
White Rabbit,13-Feb-15,Drama,5,1,1,41,3,0,0,tbd
A Dark Place,12-Apr-19,"Mystery,Thriller",6,1,1,41,0,1,2,tbd
Sal,1-Nov-13,"Biography,Drama",5,2,1,41,0,2,1,tbd
Being Frank,14-Jun-19,Comedy,5,5,2,41,1,1,1,tbd
Sarah Palin: You Betcha!,30-Sep-11,Documentary,6,4,4,41,0,3,0,tbd
Hate Crime,16-Mar-06,"Drama,Mystery,Thriller,Crime",8,0,1,41,0,1,2,tbd
Never Been Thawed,7-Oct-05,Comedy,8,3,3,41,0,0,3,tbd
The Forgiven,9-Mar-18,Thriller,5,2,2,41,1,0,2,tbd
Ceremony,8-Apr-11,Comedy,11,1,1,40,1,1,1,tbd
Nightbreed,16-Feb-90,"Action,Fantasy,Horror",8,4,2,40,1,0,2,tbd
From the Land of the Moon,28-Jul-17,"Drama,Romance",8,6,3,40,0,1,2,tbd
Twist,21-May-04,Drama,6,3,4,39,0,0,3,tbd
Confusion of Genders,4-Jul-03,"Drama,Comedy,Romance",4,3,2,39,0,0,3,tbd
Psychopaths,1-Dec-17,Horror,3,3,1,37,3,0,0,tbd
Stardom,27-Oct-00,"Drama,Comedy",6,8,7,36,1,0,2,tbd
Swing,18-Jun-04,"Fantasy,Comedy,Romance",5,3,1,36,0,0,3,tbd
Action Jackson,12-Feb-88,"Action,Thriller,Comedy,Crime",7,2,0,36,1,0,2,tbd
Circuit,26-Apr-02,Drama,8,5,2,36,0,1,2,tbd
We'll Never Have Paris,22-Jan-15,"Comedy,Romance",4,3,1,36,2,1,0,tbd
Being Human,6-May-94,"Drama,Fantasy,Comedy",5,9,4,33,0,1,2,tbd
Amnesiac,14-Aug-15,"Drama,Mystery,Thriller,Horror",2,5,1,33,3,0,0,tbd
The Christmas Candle,22-Nov-13,Drama,6,6,1,33,0,0,3,tbd
The 11th Hour,12-Jun-15,"Drama,Thriller",6,3,0,32,0,3,0,tbd
6 Month Rule,1-Jun-12,Comedy,5,2,0,31,1,2,0,tbd
The Presidio,10-Jun-88,"Action,Mystery,Thriller,Crime",5,6,0,31,1,1,1,tbd
Chander Pahar (Mountains Of The Moon),10-Jan-14,Adventure,2,5,0,29,0,2,1,tbd
"Literally, Right Before Aaron",29-Sep-17,"Drama,Comedy",4,4,1,28,0,1,2,tbd
Chloe and Theo,4-Sep-15,"Drama,Comedy",2,7,0,24,0,1,2,tbd
30 Beats,20-Jul-12,"Comedy,Romance",2,10,0,20,1,1,1,tbd
Nashville,11-Jun-75,"Drama,Comedy,Music",0,0,23,96,0,0,2,tbd
Stagecoach,3-Mar-39,"Adventure,Drama,Western",0,0,15,93,0,0,2,tbd
An American in Paris,11-Nov-51,"Drama,Romance,Musical",3,0,14,84,0,0,2,tbd
Carmine Street Guitars,24-Apr-19,Documentary,1,0,12,82,1,1,0,tbd
Cousin Jules,27-Nov-13,Documentary,1,0,9,81,0,0,2,tbd
Living in Oblivion,21-Jul-95,"Drama,Comedy",0,0,17,81,0,0,2,tbd
Midnight Traveler,18-Sep-19,"War,Documentary",0,0,13,80,1,0,1,tbd
All Is Well,6-Jun-19,Drama,0,0,7,80,1,0,1,tbd
Quest for Fire,12-Feb-82,"Adventure,Drama,History",5,0,6,79,1,1,0,tbd
Hotel by the River,15-Feb-19,Drama,0,0,12,79,0,0,2,tbd
Two Family House,6-Oct-00,Drama,2,0,26,79,1,0,1,tbd
"Love, Antosha",2-Aug-19,"Biography,Music,Documentary",1,0,13,78,0,1,1,tbd
Henri Langlois: The Phantom of the Cinematheque,12-Oct-05,"Biography,History,Documentary",0,0,10,78,0,0,2,tbd
Hooligan Sparrow,22-Jul-16,"Drama,Crime,Documentary,News",0,0,13,78,1,0,1,tbd
Home of the Brave,27-Oct-04,Documentary,2,0,7,77,0,0,2,tbd
Presenting Princess Shaw,27-May-16,"Music,Documentary",2,0,17,77,0,0,2,tbd
"Sobibór, 14 octobre 1943, 16 heures",12-Oct-01,"History,Documentary",1,0,6,77,1,0,1,tbd
Miles Davis: Birth of the Cool,23-Aug-19,"Music,Documentary",0,0,8,76,0,1,1,tbd
A Place in the Sun,14-Aug-51,"Drama,Romance",3,0,8,76,0,0,2,tbd
House Party,9-Mar-90,"Comedy,Romance,Music",2,0,13,76,0,0,2,tbd
Anita O'Day: The Life of a Jazz Singer,15-Aug-08,"Music,Documentary",0,0,12,76,0,0,2,tbd
Time to Choose,3-Jun-16,Documentary,3,1,11,75,0,0,2,tbd
Ballplayer: Pelotero,13-Jul-12,"Drama,Sport,Documentary",1,0,11,75,0,0,2,tbd
Notes on Blindness,16-Nov-16,"Drama,Documentary",1,1,10,75,0,0,2,tbd
Jeremiah Johnson,12-May-72,"Adventure,Drama,Western",0,0,7,75,0,1,1,tbd
Under The Wire,16-Nov-18,Documentary,1,0,10,75,0,0,2,tbd
Kids for Cash,7-Feb-14,"Drama,Crime,Documentary,News",2,1,14,75,0,0,2,tbd
Another Road Home,29-Apr-05,Documentary,1,0,14,75,0,0,2,tbd
Down from the Mountain,15-Jun-01,"Music,Documentary",2,1,9,75,0,0,2,tbd
Very Semi-Serious,20-Nov-15,Documentary,1,0,7,74,0,0,2,tbd
Raise Hell: The Life & Times of Molly Ivins,30-Aug-19,Documentary,1,0,14,74,0,1,1,tbd
Egg,18-Jan-19,Comedy,0,0,7,74,0,2,0,tbd
Chisholm '72: Unbought & Unbossed,24-Sep-04,Documentary,1,0,6,73,0,0,2,tbd
Werewolf,1-Mar-18,Drama,1,0,8,73,0,0,2,tbd
The Fall of Fujimori,18-Jan-06,Documentary,0,0,11,73,0,0,2,tbd
Sky Ladder: The Art of Cai Guo-Qiang,14-Oct-16,Documentary,1,0,9,73,1,1,0,tbd
Knuckleball!,21-Sep-12,Documentary,2,0,7,73,0,0,2,tbd
Uprising (2013),11-Jan-13,"Action,History,Documentary,News",1,0,6,73,0,0,2,tbd
Berlin,18-Jul-08,Documentary,2,0,9,72,0,0,2,tbd
Full Battle Rattle,9-Jul-08,Documentary,3,0,6,72,0,0,2,tbd
The Great Invisible,29-Oct-14,Documentary,3,0,12,72,1,0,1,tbd
When I Saw You,15-Jan-14,Drama,2,0,5,72,0,0,2,tbd
Dormant Beauty,6-Jun-14,Drama,2,0,10,72,0,0,2,tbd
Thirst Street,20-Sep-17,"Drama,Comedy,Romance",3,0,8,71,0,0,2,tbd
On the Town,30-Dec-49,"Comedy,Romance,Musical",1,0,7,71,0,0,2,tbd
"Never Steady, Never Still",22-Jun-18,Drama,1,0,8,70,1,0,1,tbd
Sworn Virgin,22-Apr-16,Drama,5,0,7,70,0,1,1,tbd
Where's My Roy Cohn?,20-Sep-19,Documentary,7,0,15,70,1,0,1,tbd
The Duellists,13-Jan-78,"Drama,War",5,0,8,70,0,0,2,tbd
Our Father,20-Feb-04,Drama,1,0,9,70,0,0,2,tbd
Bob Roberts,4-Sep-92,"Drama,Comedy",1,0,25,70,0,1,1,tbd
Gabrielle,4-Jul-14,"Drama,Romance,Music",1,0,10,70,0,0,2,tbd
Wait for Your Laugh,3-Nov-17,"Comedy,Documentary",1,0,6,70,0,0,2,tbd
The Eyes of Tammy Faye,21-Jul-00,"Biography,Documentary",2,1,26,69,0,0,2,tbd
Youth,15-Dec-17,"Drama,Romance",2,0,6,69,0,0,2,tbd
Melody Time,27-May-48,"Music,Animation,Family,Musical",2,0,5,69,2,0,0,tbd
10,5-Oct-79,"Comedy,Romance",1,2,4,68,1,0,1,tbd
Police Story 2 (1988),8-Mar-19,"Action,Thriller,Comedy,Crime",1,0,6,68,1,0,1,tbd
The President's Last Bang,14-Oct-05,"Drama,History,Comedy,Crime",3,0,8,68,0,0,2,tbd
A Dry White Season,20-Sep-89,"Drama,Thriller",7,0,12,68,0,1,1,tbd
Storm Boy,5-Apr-19,"Adventure,Drama,Family",2,0,5,67,0,0,2,tbd
Pianomania,4-Nov-11,"Music,Documentary",1,0,6,67,1,0,1,tbd
Harmony and Me,18-Sep-09,Comedy,2,0,6,67,0,0,2,tbd
Fiddler on the Roof,3-Nov-71,"Drama,Romance,Family,Musical",4,0,9,67,0,0,2,tbd
The Spy Behind Home Plate,24-May-19,Documentary,1,0,6,67,0,0,2,tbd
Smash & Grab: The Story of the Pink Panthers,31-Jul-13,"History,Thriller,Crime,Documentary",3,0,9,66,1,0,1,tbd
Mosquita y Mari,3-Aug-12,Drama,3,0,5,66,0,0,2,tbd
E-Team,22-Oct-14,Documentary,3,0,4,66,0,1,1,tbd
Norman Lear: Just Another Version of You,8-Jul-16,"Biography,History,Documentary",3,0,8,66,1,0,1,tbd
"White King, Red Rubber, Black Death",21-Oct-05,"History,Documentary",3,0,6,65,1,0,1,tbd
They Call Us Monsters,20-Jan-17,Documentary,4,0,5,65,0,0,2,tbd
Touch Me Not,11-Jan-19,Drama,5,0,8,65,0,0,2,tbd
Don't Leave Home,14-Sep-18,"Mystery,Thriller,Horror",3,0,7,65,1,1,0,tbd
Teenage,14-Mar-14,"History,Documentary",4,1,11,64,1,0,1,tbd
Sister Helen,24-Oct-03,Documentary,2,0,6,64,0,0,2,tbd
West of Sunshine,18-Jan-19,"Drama,Crime",3,0,6,64,0,0,2,tbd
Tip Top,12-Dec-14,"Thriller,Comedy",4,0,3,64,0,1,1,tbd
Last Call at the Oasis,4-May-12,Documentary,5,0,9,64,1,0,1,tbd
Low Tide,4-Oct-19,"Drama,Thriller",5,0,7,64,1,1,0,tbd
Persons of Interest,3-Sep-04,Documentary,4,0,8,63,0,1,1,tbd
Hannah,23-Feb-18,Drama,2,1,6,63,1,0,1,tbd
Klitschko,21-Oct-11,"Biography,Sport,Documentary",3,0,4,63,0,0,2,tbd
Little Jerusalem,27-Jan-06,Drama,7,0,6,63,0,0,2,tbd
Seoul Searching,17-Jun-16,"Drama,Comedy,Romance",4,0,5,63,1,0,1,tbd
Night Shift,30-Jul-82,Comedy,5,0,6,62,0,0,2,tbd
Dreams of a Life,3-Aug-12,"Drama,Documentary",3,0,7,62,1,0,1,tbd
We Are the Flesh,13-Jan-17,"Drama,Fantasy,Horror",4,0,6,62,1,1,0,tbd
The Last Mountain,3-Jun-11,Documentary,5,1,11,62,0,1,1,tbd
Girls Rock!,7-Mar-08,"Music,Documentary",6,0,10,62,0,0,2,tbd
Princesa,7-Dec-01,"Drama,Romance",5,0,8,62,0,0,2,tbd
Farmageddon,8-Jul-11,"Documentary,News",2,1,5,62,0,0,2,tbd
Before You Know It,30-Aug-19,"Drama,Comedy",6,0,10,61,0,1,1,tbd
The Quest of Alain Ducasse,8-Jun-18,Documentary,2,0,5,61,0,0,2,tbd
The Backyard,29-Aug-03,Documentary,3,2,7,61,1,0,1,tbd
Bicycling With Molière,23-Apr-14,"Drama,Comedy",4,0,4,61,1,0,1,tbd
Resurrect Dead: The Mystery of the Toynbee Tiles,2-Sep-11,Documentary,4,1,6,60,0,0,2,tbd
Mrs. Hyde,27-Apr-18,Drama,9,0,8,60,0,1,1,tbd
The Outrageous Sophie Tucker,24-Jul-15,Documentary,5,0,3,59,0,1,1,tbd
Mr. Holland's Opus,19-Jan-96,"Drama,Music",7,2,12,59,0,1,1,tbd
Love! Valour! Compassion!,16-May-97,"Drama,Comedy,Romance",7,2,11,59,1,0,1,tbd
A Land Imagined,12-Apr-19,Mystery,3,0,4,59,0,1,1,tbd
24 Days,24-Apr-15,"Drama,Thriller",4,0,5,59,0,0,2,tbd
Where Soldiers Come From,9-Sep-11,Documentary,5,0,3,58,0,1,1,tbd
